iter	Passed	Remaining
0	138	138088
1	139	69378
2	139	46442
3	140	34970
4	141	28084
5	141	23493
6	142	20216
7	143	17758
8	144	15933
9	145	14408
10	146	13152
11	146	12102
12	147	11212
13	148	10450
14	149	9785
15	149	9200
16	150	8684
17	150	8221
18	151	7805
19	151	7431
20	152	7092
21	152	6784
22	153	6503
23	153	6245
24	154	6009
25	154	5790
26	155	5587
27	155	5399
28	156	5223
29	156	5059
30	156	4906
31	157	4763
32	157	4629
33	158	4506
34	159	4387
35	159	4276
36	160	4172
37	160	4074
38	161	3980
39	162	3889
40	162	3801
41	163	3718
42	163	3638
43	163	3562
44	164	3490
45	164	3420
46	165	3353
47	165	3290
48	166	3228
49	166	3170
50	167	3114
51	167	3059
52	168	3007
53	168	2957
54	169	2908
55	169	2861
56	170	2816
57	170	2772
58	171	2730
59	171	2689
60	172	2650
61	172	2612
62	173	2575
63	173	2539
64	174	2505
65	174	2472
66	175	2439
67	175	2408
68	176	2377
69	176	2348
70	177	2318
71	177	2290
72	178	2262
73	178	2235
74	179	2209
75	179	2184
76	180	2159
77	180	2134
78	181	2111
79	181	2087
80	182	2065
81	182	2043
82	182	2019
83	183	1998
84	183	1977
85	184	1957
86	184	1938
87	185	1918
88	185	1900
89	186	1882
90	186	1864
91	187	1846
92	187	1830
93	188	1814
94	188	1798
95	189	1783
96	189	1768
97	190	1753
98	190	1738
99	191	1723
100	192	1709
101	192	1694
102	193	1680
103	193	1667
104	194	1653
105	194	1640
106	195	1627
107	195	1614
108	196	1602
109	196	1590
110	197	1577
111	197	1565
112	197	1554
113	198	1542
114	198	1531
115	199	1520
116	199	1508
117	200	1498
118	200	1487
119	201	1477
120	201	1467
121	202	1456
122	202	1447
123	203	1437
124	203	1427
125	204	1418
126	204	1408
127	205	1399
128	205	1390
129	206	1381
130	206	1372
131	207	1363
132	207	1354
133	208	1346
134	208	1338
135	209	1329
136	209	1321
137	210	1313
138	210	1305
139	211	1297
140	211	1290
141	212	1281
142	212	1274
143	213	1266
144	213	1259
145	214	1252
146	214	1245
147	215	1238
148	215	1231
149	216	1224
150	216	1217
151	217	1211
152	217	1205
153	218	1199
154	218	1192
155	219	1186
156	219	1180
157	220	1174
158	220	1167
159	221	1161
160	221	1154
161	222	1148
162	222	1143
163	223	1137
164	223	1131
165	224	1125
166	224	1120
167	225	1114
168	225	1109
169	226	1103
170	226	1098
171	227	1092
172	227	1087
173	228	1082
174	228	1077
175	228	1072
176	229	1066
177	229	1061
178	230	1056
179	230	1052
180	231	1047
181	232	1042
182	232	1038
183	233	1033
184	233	1028
185	234	1024
186	234	1019
187	235	1015
188	235	1010
189	236	1006
190	236	1001
191	236	997
192	237	992
193	237	988
194	238	984
195	238	980
196	239	975
197	240	972
198	240	968
199	241	964
200	241	960
201	242	956
202	242	952
203	243	948
204	243	944
205	244	940
206	244	936
207	244	932
208	245	929
209	245	925
210	246	921
211	247	918
212	247	915
213	248	912
214	248	908
215	249	905
216	250	902
217	250	898
218	251	895
219	251	891
220	252	888
221	252	884
222	253	881
223	253	878
224	253	874
225	254	871
226	254	868
227	255	864
228	255	861
229	256	858
230	256	855
231	257	851
232	257	848
233	258	845
234	258	842
235	259	839
236	259	836
237	260	833
238	260	830
239	261	827
240	261	824
241	262	821
242	262	819
243	263	816
244	264	813
245	264	810
246	265	808
247	265	805
248	266	802
249	266	800
250	267	797
251	267	794
252	268	792
253	268	789
254	269	787
255	269	784
256	270	781
257	270	778
258	271	776
259	271	773
260	272	771
261	272	768
262	273	765
263	273	763
264	274	760
265	274	758
266	275	755
267	275	753
268	276	750
269	276	748
270	277	746
271	277	743
272	278	741
273	279	739
274	279	737
275	280	734
276	280	732
277	281	730
278	281	727
279	282	725
280	282	723
281	283	720
282	283	718
283	284	716
284	284	713
285	285	711
286	285	709
287	286	707
288	286	704
289	287	702
290	287	700
291	287	698
292	288	696
293	288	693
294	289	691
295	289	689
296	290	687
297	290	685
298	291	683
299	292	681
300	292	679
301	293	677
302	293	675
303	294	673
304	294	671
305	294	669
306	295	666
307	295	664
308	296	663
309	296	661
310	297	659
311	297	657
312	298	655
313	298	653
314	299	651
315	299	649
316	300	647
317	300	645
318	301	643
319	301	641
320	302	639
321	302	637
322	303	636
323	303	634
324	304	632
325	305	630
326	305	628
327	306	627
328	306	625
329	307	623
330	307	621
331	308	619
332	308	618
333	309	616
334	309	614
335	310	612
336	310	611
337	311	609
338	311	607
339	312	605
340	312	604
341	313	602
342	313	600
343	314	598
344	314	597
345	315	595
346	315	593
347	316	592
348	316	590
349	317	588
350	317	587
351	318	585
352	318	583
353	318	582
354	319	580
355	319	578
356	320	577
357	321	575
358	321	574
359	322	572
360	322	571
361	323	569
362	323	567
363	324	566
364	324	564
365	325	563
366	325	561
367	326	560
368	326	558
369	327	556
370	327	555
371	328	553
372	328	552
373	329	550
374	329	549
375	330	547
376	330	546
377	330	544
378	331	543
379	331	541
380	332	540
381	333	538
382	333	537
383	334	536
384	334	534
385	335	533
386	335	531
387	336	530
388	336	529
389	337	527
390	338	526
391	338	525
392	339	523
393	339	522
394	340	521
395	340	519
396	341	518
397	341	516
398	342	515
399	342	513
400	343	512
401	343	511
402	344	509
403	344	508
404	345	507
405	345	505
406	346	504
407	346	502
408	347	501
409	347	500
410	348	498
411	348	497
412	349	496
413	349	494
414	349	493
415	350	492
416	351	490
417	351	489
418	352	488
419	352	487
420	353	485
421	353	484
422	354	483
423	354	481
424	355	480
425	355	479
426	356	478
427	356	476
428	357	475
429	357	474
430	358	473
431	358	471
432	359	470
433	359	469
434	360	468
435	361	467
436	361	465
437	362	464
438	362	463
439	363	462
440	363	460
441	364	459
442	364	458
443	365	457
444	365	456
445	366	455
446	366	454
447	367	452
448	368	451
449	368	450
450	369	449
451	370	448
452	370	447
453	371	446
454	371	445
455	372	444
456	372	443
457	373	441
458	373	440
459	374	439
460	374	438
461	375	437
462	375	436
463	376	434
464	376	433
465	377	432
466	377	431
467	378	430
468	378	428
469	379	427
470	379	426
471	380	425
472	380	424
473	381	423
474	382	422
475	382	421
476	383	420
477	383	419
478	384	418
479	384	416
480	385	415
481	385	414
482	386	413
483	386	412
484	387	411
485	387	410
486	388	409
487	388	408
488	389	406
489	389	405
490	390	404
491	390	403
492	391	402
493	392	401
494	392	400
495	393	399
496	393	398
497	394	397
498	394	396
499	395	395
500	395	394
501	396	393
502	396	392
503	397	391
504	397	390
505	398	389
506	398	387
507	399	386
508	399	385
509	400	384
510	400	383
511	401	382
512	401	381
513	402	380
514	402	379
515	403	378
516	403	377
517	404	376
518	404	375
519	405	374
520	405	373
521	406	372
522	406	371
523	407	370
524	407	368
525	408	367
526	408	366
527	409	365
528	409	364
529	410	363
530	410	363
531	411	362
532	412	361
533	412	360
534	413	359
535	414	358
536	414	357
537	415	356
538	415	355
539	416	354
540	417	353
541	417	352
542	418	351
543	418	350
544	419	349
545	419	348
546	420	347
547	420	346
548	421	345
549	421	344
550	422	343
551	422	343
552	423	342
553	423	341
554	424	340
555	424	339
556	425	338
557	425	337
558	426	336
559	426	335
560	427	334
561	428	333
562	428	332
563	429	331
564	429	330
565	430	330
566	430	329
567	431	328
568	431	327
569	432	326
570	433	325
571	433	324
572	434	323
573	434	322
574	435	321
575	435	320
576	436	319
577	436	318
578	437	317
579	437	316
580	438	315
581	438	315
582	439	314
583	439	313
584	440	312
585	441	311
586	441	310
587	442	309
588	442	308
589	443	308
590	443	307
591	444	306
592	445	305
593	445	304
594	446	303
595	446	302
596	447	301
597	447	301
598	448	300
599	448	299
600	449	298
601	449	297
602	450	296
603	450	295
604	451	294
605	451	293
606	452	292
607	452	292
608	453	291
609	453	290
610	454	289
611	455	288
612	455	287
613	456	286
614	456	286
615	457	285
616	458	284
617	458	283
618	459	282
619	459	281
620	460	280
621	460	280
622	461	279
623	462	278
624	462	277
625	463	276
626	463	275
627	464	274
628	464	274
629	465	273
630	465	272
631	466	271
632	466	270
633	467	269
634	467	268
635	468	268
636	468	267
637	469	266
638	470	265
639	470	264
640	471	263
641	471	263
642	472	262
643	472	261
644	473	260
645	473	259
646	474	258
647	475	258
648	475	257
649	476	256
650	476	255
651	477	254
652	477	253
653	478	252
654	478	252
655	479	251
656	479	250
657	480	249
658	480	248
659	481	247
660	481	247
661	482	246
662	483	245
663	483	244
664	484	243
665	484	243
666	485	242
667	485	241
668	486	240
669	487	239
670	487	239
671	488	238
672	488	237
673	489	236
674	489	235
675	490	235
676	491	234
677	491	233
678	492	232
679	493	232
680	493	231
681	494	230
682	494	229
683	495	228
684	496	228
685	497	227
686	497	226
687	498	226
688	499	225
689	499	224
690	500	223
691	501	223
692	501	222
693	502	221
694	502	220
695	503	220
696	504	219
697	504	218
698	505	217
699	506	217
700	507	216
701	508	215
702	508	214
703	509	214
704	510	213
705	510	212
706	511	211
707	511	211
708	512	210
709	512	209
710	513	208
711	514	207
712	514	207
713	515	206
714	515	205
715	516	204
716	517	204
717	517	203
718	518	202
719	519	201
720	519	201
721	520	200
722	520	199
723	521	198
724	521	197
725	522	197
726	523	196
727	523	195
728	524	194
729	524	194
730	525	193
731	525	192
732	526	191
733	526	190
734	527	190
735	527	189
736	528	188
737	529	187
738	529	187
739	530	186
740	531	185
741	531	184
742	532	184
743	533	183
744	533	182
745	534	181
746	534	181
747	535	180
748	536	179
749	536	178
750	537	178
751	537	177
752	538	176
753	538	175
754	539	175
755	540	174
756	540	173
757	541	172
758	541	171
759	542	171
760	542	170
761	543	169
762	543	168
763	544	168
764	545	167
765	545	166
766	546	165
767	546	165
768	547	164
769	548	163
770	548	163
771	549	162
772	550	161
773	550	160
774	551	160
775	552	159
776	552	158
777	553	157
778	553	157
779	554	156
780	554	155
781	555	154
782	555	154
783	556	153
784	556	152
785	557	151
786	557	151
787	558	150
788	559	149
789	559	148
790	560	148
791	561	147
792	561	146
793	562	145
794	562	145
795	563	144
796	564	143
797	564	142
798	565	142
799	566	141
800	566	140
801	567	140
802	567	139
803	568	138
804	569	137
805	569	137
806	570	136
807	570	135
808	571	134
809	571	134
810	572	133
811	573	132
812	573	131
813	574	131
814	574	130
815	575	129
816	576	129
817	576	128
818	577	127
819	577	126
820	578	126
821	578	125
822	579	124
823	580	123
824	580	123
825	581	122
826	581	121
827	582	121
828	583	120
829	583	119
830	584	118
831	584	118
832	585	117
833	585	116
834	586	115
835	586	115
836	587	114
837	587	113
838	588	112
839	588	112
840	589	111
841	590	110
842	590	110
843	591	109
844	591	108
845	592	107
846	592	107
847	593	106
848	594	105
849	594	104
850	595	104
851	595	103
852	596	102
853	597	102
854	597	101
855	598	100
856	598	99
857	599	99
858	599	98
859	600	97
860	600	97
861	601	96
862	602	95
863	602	94
864	603	94
865	603	93
866	604	92
867	605	92
868	605	91
869	606	90
870	606	89
871	607	89
872	608	88
873	608	87
874	609	87
875	610	86
876	610	85
877	611	84
878	611	84
879	612	83
880	612	82
881	613	82
882	614	81
883	614	80
884	615	79
885	615	79
886	616	78
887	616	77
888	617	77
889	618	76
890	618	75
891	619	74
892	619	74
893	620	73
894	620	72
895	621	72
896	622	71
897	622	70
898	623	70
899	624	69
900	624	68
901	625	67
902	625	67
903	626	66
904	627	65
905	627	65
906	628	64
907	628	63
908	629	63
909	630	62
910	630	61
911	631	60
912	631	60
913	632	59
914	632	58
915	633	58
916	634	57
917	634	56
918	635	55
919	635	55
920	636	54
921	637	53
922	637	53
923	638	52
924	638	51
925	639	51
926	639	50
927	640	49
928	641	48
929	641	48
930	642	47
931	642	46
932	643	46
933	643	45
934	644	44
935	645	44
936	645	43
937	646	42
938	646	42
939	647	41
940	647	40
941	648	39
942	648	39
943	649	38
944	650	37
945	650	37
946	651	36
947	651	35
948	652	35
949	653	34
950	653	33
951	654	32
952	654	32
953	655	31
954	655	30
955	656	30
956	656	29
957	657	28
958	657	28
959	658	27
960	658	26
961	659	26
962	659	25
963	660	24
964	660	23
965	661	23
966	661	22
967	662	21
968	663	21
969	663	20
970	664	19
971	664	19
972	665	18
973	665	17
974	666	17
975	666	16
976	667	15
977	667	15
978	668	14
979	669	13
980	669	12
981	670	12
982	670	11
983	671	10
984	671	10
985	672	9
986	672	8
987	673	8
988	673	7
989	674	6
990	674	6
991	675	5
992	675	4
993	676	4
994	676	3
995	677	2
996	678	2
997	678	1
998	679	0
999	679	0
